iter	Logloss
0	0.6875751202
1	0.682464717
2	0.6773588914
3	0.673038424
4	0.6684519254
5	0.6634450472
6	0.6596612197
7	0.6544574444
8	0.6494385939
9	0.6438113286
10	0.6395806533
11	0.6349001958
12	0.6300157987
13	0.6253829369
14	0.6208486704
15	0.6161190913
16	0.6119658837
17	0.6068360549
18	0.6020387503
19	0.5981713515
20	0.5935292757
21	0.5895611103
22	0.5854969905
23	0.5814294668
24	0.576958759
25	0.5730572627
26	0.5690582275
27	0.5658464872
28	0.5620984591
29	0.5585770827
30	0.5559493432
31	0.5524798467
32	0.5490634625
33	0.5456476065
34	0.5421052199
35	0.538807913
36	0.5351838332
37	0.5317388094
38	0.5274401738
39	0.5233789884
40	0.520162377
41	0.5170297476
42	0.5140411377
43	0.5103763287
44	0.506940871
45	0.5038969187
46	0.500651785
47	0.49805157
48	0.4951588557
49	0.4918608152
50	0.4893199627
51	0.4866124667
52	0.4836057223
53	0.4805102422
54	0.4775271196
55	0.474552624
56	0.4720429054
57	0.4693605863
58	0.4665726882
59	0.463866718
60	0.4610768832
61	0.4587154975
62	0.45620349
63	0.4535264235
64	0.4506799551
65	0.4482135479
66	0.4452129951
67	0.4427503146
68	0.4399474217
69	0.4373734401
70	0.4352127075
71	0.4327710959
72	0.4306298476
73	0.4283419096
74	0.4259750073
75	0.4239789523
76	0.4217633761
77	0.4189421434
78	0.4170159267
79	0.4149798467
80	0.412857936
81	0.4104894198
82	0.4080584013
83	0.4060814784
84	0.4042089902
85	0.4020521311
86	0.3999540182
87	0.3980759841
88	0.3951801593
89	0.3934648954
90	0.3916615413
91	0.3899311653
92	0.3878079341
93	0.3857928936
94	0.3841436826
95	0.3824225206
96	0.380230889
97	0.3782893254
98	0.3764589163
99	0.3742518498
100	0.3724765484
101	0.3702560425
102	0.3682992495
103	0.3670513447
104	0.3646809505
105	0.3630059169
106	0.361048537
107	0.3595741272
108	0.357896482
109	0.3561420147
110	0.3541757437
111	0.35231021
112	0.3510041457
113	0.3491976811
114	0.3475333874
115	0.3459426293
116	0.3443704458
117	0.3427725572
118	0.3408416748
119	0.3391397916
120	0.3374131716
121	0.3361427307
122	0.334774927
123	0.3333481422
124	0.3319892883
125	0.3307556152
126	0.328970689
127	0.3278295957
128	0.3266373268
129	0.3252692003
130	0.3234551943
131	0.3222163274
132	0.3204399402
133	0.31887119
134	0.3176081144
135	0.3161944756
136	0.3150652078
137	0.3137147463
138	0.3122040382
139	0.3111215151
140	0.3100127
141	0.3088696993
142	0.3080240983
143	0.3065437023
144	0.3048086313
145	0.3032900884
146	0.3020572956
147	0.3003813817
148	0.2990409558
149	0.2979817904
150	0.2966468518
151	0.2953548138
152	0.2938685197
153	0.2925431765
154	0.2914403182
155	0.2905368218
156	0.289445613
157	0.2888577388
158	0.2875736823
