iter	Passed	Remaining
0	196	195965
1	259	129356
2	320	106664
3	384	95683
4	446	88933
5	509	84397
6	568	80629
7	625	77552
8	681	75061
9	736	72956
10	790	71110
11	844	69521
12	897	68143
13	951	66989
14	1004	65971
15	1058	65068
16	1112	64344
17	1168	63752
18	1222	63120
19	1276	62529
20	1329	61961
21	1383	61524
22	1443	61321
23	1506	61259
24	1568	61170
25	1630	61084
26	1693	61023
27	1755	60939
28	1822	61011
29	1884	60925
30	1947	60885
31	2010	60818
32	2073	60750
33	2136	60701
34	2214	61069
35	2255	60396
36	2327	60587
37	2391	60539
38	2457	60556
39	2519	60476
40	2582	60410
41	2646	60355
42	2708	60277
43	2771	60217
44	2835	60182
45	2897	60100
46	2960	60027
47	3023	59968
48	3086	59894
49	3153	59914
50	3216	59846
51	3283	59861
52	3351	59877
53	3413	59792
54	3474	59702
55	3536	59612
56	3598	59539
57	3660	59459
58	3715	59263
59	3770	59066
60	3823	58851
61	3876	58645
62	3929	58446
63	3983	58261
64	4036	58070
65	4089	57878
66	4144	57709
67	4198	57550
68	4251	57370
69	4305	57196
70	4358	57029
71	4411	56856
72	4464	56693
73	4517	56530
74	4575	56425
75	4637	56383
76	4701	56351
77	4762	56293
78	4823	56235
79	4885	56188
80	4947	56128
81	5010	56088
82	5087	56205
83	5152	56185
84	5213	56126
85	5274	56061
86	5336	56002
87	5398	55947
88	5459	55888
89	5521	55829
90	5583	55770
91	5645	55719
92	5708	55668
93	5770	55613
94	5831	55551
95	5892	55488
96	5955	55440
97	6018	55390
98	6079	55327
99	6145	55311
100	6208	55258
101	6268	55190
102	6331	55138
103	6392	55078
104	6454	55018
105	6517	54964
106	6578	54905
107	6641	54854
108	6703	54798
109	6765	54738
110	6821	54635
111	6875	54510
112	6928	54387
113	6981	54260
114	7035	54144
115	7088	54019
116	7143	53915
117	7198	53804
118	7251	53686
119	7304	53569
120	7358	53452
121	7412	53343
122	7465	53226
123	7518	53112
124	7571	52999
125	7625	52891
126	7684	52820
127	7745	52769
128	7807	52714
129	7869	52665
130	7932	52620
131	7994	52570
132	8056	52520
133	8121	52486
134	8183	52434
135	8246	52391
136	8309	52341
137	8371	52292
138	8434	52242
139	8496	52195
140	8561	52156
141	8627	52130
142	8689	52075
143	8752	52027
144	8815	51981
145	8877	51928
146	8940	51880
147	9003	51829
148	9066	51779
149	9131	51746
150	9196	51705
151	9258	51655
152	9321	51601
153	9384	51551
154	9445	51491
155	9508	51441
156	9569	51384
157	9632	51333
158	9694	51275
159	9756	51220
160	9818	51166
161	9880	51109
162	9938	51035
163	9991	50933
164	10043	50827
165	10098	50737
166	10152	50641
167	10206	50545
168	10260	50454
169	10314	50357
170	10367	50259
171	10420	50163
172	10473	50068
173	10527	49976
174	10581	49881
175	10634	49790
176	10688	49698
177	10741	49603
178	10800	49536
179	10862	49483
180	10924	49433
181	10987	49382
182	11049	49330
183	11113	49287
184	11175	49232
185	11238	49181
186	11300	49130
187	11362	49074
188	11424	49022
189	11485	48966
190	11547	48912
191	11610	48858
192	11672	48804
193	11734	48750
194	11797	48701
195	11858	48644
196	11921	48592
197	11983	48537
198	12045	48482
199	12112	48448
200	12174	48393
201	12236	48339
202	12298	48285
203	12360	48230
204	12421	48171
205	12482	48113
206	12545	48060
207	12607	48005
208	12668	47947
209	12730	47891
210	12792	47836
211	12855	47782
212	12917	47729
213	12980	47674
214	13040	47611
215	13095	47533
216	13150	47449
217	13203	47361
218	13255	47272
219	13308	47185
220	13361	47097
221	13415	47012
222	13468	46928
223	13522	46845
224	13575	46759
225	13628	46674
226	13682	46591
227	13735	46506
228	13788	46423
229	13841	46340
230	13895	46259
231	13958	46207
232	14020	46153
233	14085	46108
234	14147	46054
235	14209	45999
236	14271	45946
237	14335	45897
238	14396	45841
239	14459	45787
240	14520	45730
241	14582	45676
242	14644	45620
243	14707	45568
244	14768	45512
245	14831	45459
246	14894	45406
247	14956	45350
248	15018	45296
249	15082	45248
250	15145	45196
251	15208	45142
252	15270	45087
253	15332	45030
254	15394	44975
255	15457	44923
256	15518	44866
257	15580	44808
258	15642	44753
259	15705	44699
260	15767	44643
261	15829	44587
262	15891	44532
263	15954	44479
264	16017	44424
265	16082	44378
266	16144	44322
267	16198	44244
268	16252	44166
269	16305	44085
270	16359	44006
271	16412	43926
272	16465	43846
273	16518	43768
274	16571	43688
275	16624	43609
276	16678	43531
277	16731	43454
278	16784	43376
279	16838	43297
280	16891	43219
281	16944	43142
282	16997	43065
283	17052	42991
284	17107	42918
285	17160	42842
286	17214	42765
