Gamma_ACACT1r,Gamma_ALCD2irm,Gamma_ANS,Gamma_ASPTA,Gamma_G6PDH2r,Gamma_GLUSx,Gamma_IG3PS,Gamma_AKGDbm,Gamma_PSERT,Gamma_PHETRA,Gamma_CITtbm,Gamma_ASNt2r,Gamma_ALAtmi,Gamma_ACONTm,Gamma_CBPt
0.897801644,0.725190118,9.15e-33,20.03186268,0.477765401,6.28e-11,9.08e-23,0.254031224,0.845361195,492.5631516,2.640345514,2.767238507,0.734719808,0.846733021,4.489401124
0.990221638,0.959516338,1.22e-34,2.579997846,0.864427832,1.25e-11,1.7e-24,0.071921712,0.985520506,131.1201895,1.231871228,1.262965249,0.96143616,0.943635307,3.000346686
0.990221638,0.959516338,1.22e-34,2.579997846,0.864427832,1.25e-11,1.7e-24,0.071921712,0.985520506,131.1201895,1.231871228,1.262965249,0.96143616,0.943635307,3.000346686
0.990221638,0.959516338,1.22e-34,2.579997846,0.864427832,1.25e-11,1.7e-24,0.071921712,0.985520506,131.1201895,1.231871228,1.262965249,0.96143616,0.943635307,3.000346686
0.987722397,0.97781169,4.0000000000000006e-34,1.691680247,0.870674445,7.51e-12,7.94e-25,0.071369216,0.983548469,130.0549841,1.370207746,1.309490051,0.964686496,0.959842897,3.076727392
0.897801644,0.725190118,9.15e-33,20.03186268,0.477765401,6.28e-11,9.08e-23,0.254031224,0.845361195,492.5631516,2.640345514,2.767238507,0.734719808,0.846733021,4.489401124
0.987722397,0.97781169,4.0000000000000006e-34,1.691680247,0.870674445,7.51e-12,7.94e-25,0.071369216,0.983548469,130.0549841,1.370207746,1.309490051,0.964686496,0.959842897,3.076727392
0.990221638,0.959516338,1.22e-34,2.579997846,0.864427832,1.25e-11,1.7e-24,0.071921712,0.985520506,131.1201895,1.231871228,1.262965249,0.96143616,0.943635307,3.000346686
0.990221638,0.959516338,1.22e-34,2.579997846,0.864427832,1.25e-11,1.7e-24,0.071921712,0.985520506,131.1201895,1.231871228,1.262965249,0.96143616,0.943635307,3.000346686
0.990221638,0.959516338,1.22e-34,2.579997846,0.864427832,1.25e-11,1.7e-24,0.071921712,0.985520506,131.1201895,1.231871228,1.262965249,0.96143616,0.943635307,3.000346686
0.986517728,0.968858203,1.5200000000000002e-35,8.410013843,0.963784966,1.9e-13,6.19e-24,0.082510549,0.972644584,154.5159073,1.669302514,1.562465849,0.971679271,0.94644094,3.180064285
0.996326913,0.905615444,1.2000000000000002e-37,4.675834348,0.645953941,3.18e-18,2.28e-27,4.75e-08,0.994523705,317.8433877,1.081348733,1.100697158,0.994143168,0.825040762,1.316046085
0.990221638,0.959516338,1.22e-34,2.579997846,0.864427832,1.25e-11,1.7e-24,0.071921712,0.985520506,131.1201895,1.231871228,1.262965249,0.96143616,0.943635307,3.000346686
0.987722397,0.97781169,4.0000000000000006e-34,1.691680247,0.870674445,7.51e-12,7.94e-25,0.071369216,0.983548469,130.0549841,1.370207746,1.309490051,0.964686496,0.959842897,3.076727392
0.987722397,0.97781169,4.0000000000000006e-34,1.691680247,0.870674445,7.51e-12,7.94e-25,0.071369216,0.983548469,130.0549841,1.370207746,1.309490051,0.964686496,0.959842897,3.076727392
0.990221638,0.959516338,1.22e-34,2.579997846,0.864427832,1.25e-11,1.7e-24,0.071921712,0.985520506,131.1201895,1.231871228,1.262965249,0.96143616,0.943635307,3.000346686
0.987722397,0.97781169,4.0000000000000006e-34,1.691680247,0.870674445,7.51e-12,7.94e-25,0.071369216,0.983548469,130.0549841,1.370207746,1.309490051,0.964686496,0.959842897,3.076727392
0.983649483,0.952056916,1.2599999999999999e-34,5.718709322,0.883480895,6.11e-13,8.18e-24,0.072101794,0.967855304,228.4909627,1.471700668,1.374240532,0.905111483,0.943347682,2.88092922
0.990221638,0.959516338,1.22e-34,2.579997846,0.864427832,1.25e-11,1.7e-24,0.071921712,0.985520506,131.1201895,1.231871228,1.262965249,0.96143616,0.943635307,3.000346686
0.987722397,0.97781169,4.0000000000000006e-34,1.691680247,0.870674445,7.51e-12,7.94e-25,0.071369216,0.983548469,130.0549841,1.370207746,1.309490051,0.964686496,0.959842897,3.076727392
0.986517728,0.968858203,1.5200000000000002e-35,8.410013843,0.963784966,1.9e-13,6.19e-24,0.082510549,0.972644584,154.5159073,1.669302514,1.562465849,0.971679271,0.94644094,3.180064285
0.986517728,0.968858203,1.5200000000000002e-35,8.410013843,0.963784966,1.9e-13,6.19e-24,0.082510549,0.972644584,154.5159073,1.669302514,1.562465849,0.971679271,0.94644094,3.180064285
0.987722397,0.97781169,4.0000000000000006e-34,1.691680247,0.870674445,7.51e-12,7.94e-25,0.071369216,0.983548469,130.0549841,1.370207746,1.309490051,0.964686496,0.959842897,3.076727392
